"Innovation_Timeline(Industry_-_Publication_Date)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"COMMUNICATION EQUIPMENT",81,64,65,31,33,50,48,64,68,45,91,54,85,140,154,1046,1914,9839,5803,6902,5472,3610,3584,3831,4948,5627,15150,7510,7053,11093,13917,16306,16644,29581,42411,9222
"BASIC PHARMACEUTICAL PRODUCTS AND PHARMACEUTICAL PREP.",189,154,187,102,255,113,137,322,175,284,342,298,332,513,583,3055,2784,17178,9397,11939,7994,5063,5655,4174,6006,7295,13583,7590,6993,8891,9745,11352,11294,16182,21200,3986
"BASIC CHEMICALS, FERTILISERS, NITROGEN COMPOUNDS, PLASTICS AND SYNTHETIC RUBBER IN PRIMARY FORMS",543,565,549,277,323,303,258,525,398,270,412,347,437,497,430,1881,2458,9796,5506,6758,4529,2986,3533,2868,4695,5699,10715,5756,5515,7259,8669,9741,7369,11502,14544,2904
"COMPUTERS AND PERIPHERAL EQUIPMENT",58,45,38,23,9,21,21,47,19,12,21,24,27,64,93,630,1281,5766,2984,4188,2514,1799,1882,1992,2485,3213,9152,3954,3492,4805,6185,9082,7755,17723,30018,6922
"OTHER GENERAL PURPOSE MACHINERY",318,296,278,135,121,124,77,179,149,91,130,129,194,233,237,1122,1671,7250,3911,4665,2810,2087,2107,1956,3065,4060,8636,3949,3761,5401,8014,10228,6850,14635,19072,2914
"MEDICAL AND DENTAL INSTRUMENTS AND SUPPLIES",75,73,88,67,70,47,39,98,114,45,70,84,118,118,119,651,963,4752,2639,3514,2460,1609,1999,1746,2722,3615,7201,3508,3310,4439,5979,8392,7178,13835,22002,4079
"MEASURING, TESTING AND NAVIGATION INSTRUMENTS; WATCHES AND CLOCKS",140,151,119,51,63,47,48,90,65,40,49,51,54,82,94,572,834,4149,2483,3123,2170,1403,1594,1502,2271,3042,6810,2808,2548,3663,5188,7271,5617,11623,16841,3280
"OTHER SPECIAL PURPOSE MACHINERY",370,381,321,183,188,188,146,307,293,124,184,140,226,259,200,865,1378,4951,2909,3519,2222,1401,1618,1422,2433,3339,6324,2729,2563,3546,4408,5539,4145,8652,10425,1502
"GENERAL PURPOSE MACHINERY",219,180,172,95,93,74,70,125,117,67,76,65,109,159,111,566,884,3251,2144,2879,1908,1370,1646,1427,2447,3375,6175,3350,3378,3927,4556,5617,4202,9738,10517,1603
"MOTOR VEHICLES",127,112,86,44,38,46,29,60,70,25,56,45,68,89,85,439,648,2398,1727,2186,1539,1020,1305,1252,2095,2848,5001,2818,2561,3229,4177,5503,4121,9342,10827,1682
"ELECTRONIC COMPONENTS AND BOARDS",96,85,67,44,48,70,24,55,41,21,40,30,61,88,71,294,457,2219,1292,1668,1160,882,888,862,1267,1669,3913,1557,1325,2065,3100,4546,3333,7056,10121,1760
"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",,,,,,,,,,1,,,,,3,13,28,403,273,473,429,357,416,454,567,863,1962,1052,978,1349,2227,3746,2830,7004,12608,3301
"METAL FORMING MACHINERY AND MACHINE TOOLS",106,102,94,47,42,44,34,59,71,30,43,45,76,68,62,285,364,1613,983,1149,759,497,693,671,905,1267,2559,1205,1103,1388,1780,2518,1955,4219,6639,909
"ELECTRIC MOTORS, GENERATORS, TRANSFORMERS AND ELECTRICITY DISTRIBUTION AND CONTROL",70,54,31,19,21,27,15,39,36,11,17,17,25,48,32,139,247,854,607,796,596,454,530,585,874,1235,2519,1256,1116,1668,2087,2697,2053,4674,6296,1261
"DOMESTIC APPLIANCES",61,52,39,25,24,29,31,53,67,24,40,45,55,73,74,240,309,1225,739,940,654,396,468,415,606,890,2073,1011,907,1215,1783,2345,1614,3518,4932,709
"BASIC METALS",132,173,106,51,39,55,46,85,64,39,51,48,72,83,93,270,425,1337,843,1008,643,415,572,524,903,1142,1944,1210,973,1181,1643,1923,1480,3140,3671,518
"OTHER MANUFACTURING",48,60,44,22,33,27,15,33,45,14,25,27,47,41,32,163,240,1084,637,742,515,312,347,288,470,752,1419,689,612,967,1385,2003,1647,3382,5860,810
"FOOD PRODUCTS",51,47,48,39,38,21,30,86,73,57,95,47,84,84,58,296,331,1574,927,1214,846,537,593,506,831,976,1872,720,689,920,1299,1792,1326,2241,3273,641
"RUBBER AND PLASTIC PRODUCTS",98,84,99,33,40,34,26,48,39,25,49,37,53,76,70,250,334,1469,792,925,705,415,488,405,720,1096,1948,732,715,1066,1306,1844,1373,2894,3263,510
"BATTERIES AND ACCUMULATORS",16,22,11,8,2,4,4,4,5,3,10,9,10,11,16,125,140,648,406,560,348,218,288,286,448,541,1016,431,489,770,1680,2472,1813,3619,5780,1271
"OTHER TRANSPORT EQUIPMENT",59,64,61,26,22,32,23,43,31,15,22,21,23,32,44,206,250,908,645,704,513,332,331,348,475,694,1368,780,784,1029,1613,2022,1303,3261,4239,672
"WIRING AND WIRING DEVICES",97,91,76,39,41,43,29,60,59,26,29,30,45,62,45,178,278,1183,782,901,616,433,489,561,869,1062,1753,738,730,1132,1382,1565,1198,2202,2512,343
"SOAP, DETERGENTS, CLEANING AND POLISHING PREP., PERFUMES AND TOILET PREP.",45,29,54,21,28,16,31,43,39,19,44,56,61,111,51,306,195,1076,682,727,484,427,443,310,622,820,1601,814,766,984,1440,1771,1327,2324,3154,579
"OTHER ELECTRICAL EQUIPMENT",41,35,35,16,14,14,12,18,9,13,5,8,19,27,19,96,186,665,458,514,366,314,300,306,546,754,1605,778,663,1066,1444,1667,1280,2869,4018,856
"PESTICIDES AND OTHER AGROCHEMICAL PRODUCTS",52,30,42,9,37,11,15,49,30,42,53,63,64,54,45,408,211,1622,986,1092,815,424,568,439,600,909,1849,780,790,1069,1094,1228,955,1616,2209,449
"OPTICAL INSTRUMENTS AND PHOTOGRAPHIC EQUIPMENT",34,30,31,12,17,8,4,16,12,8,18,19,11,26,28,152,219,1113,526,658,444,274,286,288,495,665,1572,627,571,960,1063,1405,1075,2450,3169,499
"CONTAINERS FOR STORAGE OR TRANSPORT",52,47,68,26,19,22,24,47,55,22,35,17,31,52,54,216,305,1289,683,806,490,282,332,299,555,710,1413,518,510,638,1310,1521,799,1851,2215,301
"AGRICULTURAL AND FORESTRY MACHINERY",27,20,16,14,11,13,10,19,21,7,24,12,20,17,20,96,137,514,301,391,261,149,205,165,262,402,841,399,415,680,886,1371,1158,2574,4554,880
"OTHER NON-METALLIC MINERAL PRODUCTS",48,61,52,26,13,16,5,14,9,10,20,12,27,40,50,166,242,1163,623,733,459,243,318,276,355,749,1519,460,559,758,968,1223,922,1558,1890,322
"OTHER CHEMICAL PRODUCTS",99,85,79,55,65,54,47,69,50,25,37,39,54,50,57,152,208,843,528,615,473,259,282,212,428,658,1422,595,513,752,883,905,690,1252,1536,261
"MANUFACTURING N.E.C",18,16,5,5,5,6,4,7,4,8,5,1,10,10,7,60,99,497,250,293,197,150,122,151,187,293,645,252,236,358,576,948,825,1776,3025,617
"SPECIALISED CONSTRUCTION ACTIVITIES",30,34,22,7,13,9,4,18,30,16,18,15,16,30,16,82,113,513,344,387,246,142,195,181,262,393,699,282,309,453,634,862,644,1496,1878,296
"PAINTS, VARNISHES AND SIMILAR COATINGS, PRINTING INK AND MASTICS",25,37,20,11,5,13,6,12,6,2,12,15,10,28,23,123,137,765,378,434,305,197,232,198,305,508,1172,435,413,610,744,800,515,891,1009,195
"CEMENT, LIME AND PLASTER",59,88,62,24,48,25,27,22,31,8,20,18,27,32,31,132,159,503,338,379,226,191,192,156,261,380,721,365,358,475,541,771,650,1152,1596,332
"COKE AND REFINED PETROLEUM PRODUCTS",42,64,53,36,29,22,14,21,32,5,24,18,16,31,23,114,174,688,421,527,343,203,269,176,350,508,815,386,466,577,604,674,447,817,968,192
"ELECTRIC LIGHTING EQUIPMENT",8,6,4,,9,3,3,8,7,5,4,7,6,6,9,28,57,213,139,174,177,138,147,173,154,227,750,268,187,321,525,745,636,1106,1655,290
"CUTLERY, TOOLS AND GENERAL HARDWARE",9,5,7,7,12,11,11,11,7,5,5,6,8,9,15,63,76,325,197,220,167,96,125,114,219,267,535,239,201,299,478,684,419,976,1134,184
"IRRADIATION, ELECTROMEDICAL AND ELECTROTHERAPEUTIC EQUIPMENT",8,16,4,3,6,2,1,1,8,4,1,4,9,2,10,38,78,356,230,283,172,88,121,124,170,231,666,234,172,252,356,503,376,809,1071,202
"GLASS AND GLASS PRODUCTS",29,39,33,16,11,14,5,10,7,17,14,9,12,33,30,107,126,421,270,290,181,115,125,110,208,270,508,293,259,372,444,433,268,533,645,95
"TEXTILES",29,54,39,19,10,15,12,23,16,21,19,7,24,30,32,130,149,540,296,416,190,105,110,93,175,255,527,161,161,251,331,374,312,565,609,86
"PRINTING AND RELATED SERVICES",11,7,13,6,3,6,2,1,3,,3,9,9,9,6,69,80,323,175,229,121,84,71,91,131,189,425,204,194,323,394,447,309,763,1076,210
"CONSUMER ELECTRONICS",22,11,15,3,3,4,1,3,2,4,8,4,9,14,11,39,96,290,160,216,156,104,105,113,131,180,540,234,192,246,306,441,305,644,809,143
"PARTS AND ACCESSORIES FOR MOTOR VEHICLES",,,,,,,,,,,,,,,,,1,22,22,107,44,24,40,63,116,173,334,122,154,224,407,513,370,921,1363,252
"FURNITURE",7,10,9,2,3,4,5,10,7,5,11,13,9,16,10,42,41,223,131,186,112,87,82,71,129,181,320,146,132,203,276,406,333,685,1111,169
"BEVERAGES",11,11,3,4,3,2,2,5,2,6,5,11,14,9,9,31,36,183,118,151,101,57,57,47,96,139,377,84,152,175,298,398,264,479,842,145
"OTHER FABRICATED METAL PRODUCTS",25,12,19,11,11,9,8,10,11,6,6,8,6,9,8,40,52,235,126,159,98,66,94,74,106,193,385,131,147,173,282,376,198,530,625,64
"PAPER AND PAPER PRODUCTS",16,15,11,8,6,10,5,9,14,2,7,10,8,20,13,49,63,284,177,204,139,72,71,55,101,130,355,137,97,167,173,171,153,346,393,75
"TOBACCO PRODUCTS",9,6,7,2,1,2,1,5,9,2,7,2,2,3,5,14,30,91,50,63,54,44,39,36,68,102,215,74,108,121,600,545,113,357,550,69
"TANKS, RESERVOIRS AND CONTAINERS OF METAL",30,22,24,12,7,10,4,17,11,7,14,7,8,13,7,40,60,128,98,142,122,97,138,151,186,263,390,193,169,168,142,117,109,275,145,13
"STRUCTURAL METAL PRODUCTS",23,28,23,12,5,7,8,12,10,9,7,5,8,14,13,49,66,239,132,154,82,43,62,60,98,162,330,95,96,140,188,195,131,339,329,44
