"Innovation_Timeline_(Tech_Sub_Domain_-_Publication_Date)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"COMPUTER TECHNOLOGY",64,53,45,26,10,24,21,55,23,12,25,29,42,84,106,674,1229,6314,3352,4655,2796,2010,2028,2163,2717,3500,9982,4351,3648,4879,6220,10339,9175,19307,31892,7179
"DIGITAL COMMUNICATION",18,13,12,5,1,2,1,6,14,4,15,10,13,24,38,367,572,4102,2255,2880,2757,2016,2022,2392,2829,3360,9702,4732,3951,6314,8316,10830,10706,20421,28736,6806
"PHARMACEUTICALS",83,64,79,49,121,46,58,147,84,166,202,168,194,310,351,1922,1461,11763,6033,7736,4892,2896,3140,2299,3505,4536,8636,3937,3099,4061,4583,7176,6815,10993,15671,3097
"ORGANIC FINE CHEMISTRY",244,195,271,127,237,126,121,301,184,222,317,261,300,359,437,1851,1658,10954,5950,7345,4600,2844,3301,2330,3507,4547,8578,3922,2794,3531,3915,6097,4573,6560,8384,1462
"MEDICAL TECHNOLOGY",63,62,79,59,65,43,38,93,113,47,65,81,112,118,110,586,780,4438,2499,3329,2281,1507,1858,1624,2544,3309,6708,3175,2696,3487,4756,7851,6804,13024,20849,3886
"APPARATUS",243,209,151,91,111,143,78,169,150,60,80,81,114,177,142,595,805,3738,2451,3211,2300,1664,1828,1936,2909,3623,7450,3397,2529,3662,5101,8601,6854,12949,17052,3277
"ELECTRICAL MACHINERY",243,209,151,91,111,143,78,169,150,60,80,81,114,177,142,595,805,3738,2451,3211,2300,1664,1828,1936,2909,3623,7450,3397,2529,3662,5101,8601,6854,12949,17052,3277
"ENERGY",243,209,151,91,111,143,78,169,150,60,80,81,114,177,142,595,805,3738,2451,3211,2300,1664,1828,1936,2909,3623,7450,3397,2529,3662,5101,8601,6854,12949,17052,3277
"TRANSPORT",120,113,106,43,40,44,34,73,51,20,50,36,61,82,97,390,531,2195,1624,2028,1467,970,1207,1149,1947,2609,4580,2619,2204,2842,3776,6058,4701,10272,13465,2225
"TELECOMMUNICATIONS",46,46,39,21,23,20,22,26,33,27,46,35,52,89,83,602,978,5505,3363,3842,2394,1284,1285,1490,1632,2120,6180,1953,1606,2291,2660,5083,4410,7279,10833,2066
"BASIC MATERIALS CHEMISTRY",308,294,287,147,173,125,121,228,180,102,192,200,217,277,197,1101,925,5075,2959,3367,2373,1499,1786,1347,2216,3140,6286,2591,1874,2620,2611,4540,3423,5740,7224,1369
"MEASUREMENT",108,120,99,42,44,48,38,80,51,34,41,39,41,61,65,383,527,2797,1753,2209,1596,1021,1210,1015,1677,2230,4942,2016,1550,2217,3053,5213,4172,8650,12446,2332
"CHEMICAL ENGINEERING",307,309,292,146,129,113,94,180,155,87,144,116,186,199,171,755,913,4221,2440,2856,1835,1213,1280,1028,1995,2556,5123,2076,1508,2224,2872,5006,3514,6248,7787,1388
"BIOTECHNOLOGY",45,45,43,25,47,19,23,68,30,51,66,52,61,97,108,559,516,4172,2234,3211,2449,1613,1658,1209,1958,2500,5384,2318,2008,2427,2916,4518,3453,5904,7477,1230
"OTHER SPECIAL MACHINES",225,217,192,79,82,82,53,104,105,59,107,78,111,157,130,543,668,3091,1696,2063,1353,862,952,813,1386,2027,4205,1636,1294,2076,2340,4074,3284,6849,9985,1782
"MATERIALS",257,327,269,119,132,138,105,170,146,87,110,112,156,172,150,610,723,2926,1865,2199,1384,935,1187,979,1655,2180,3959,2147,1460,2008,2215,3791,2883,5781,7321,1320
