"Most Cited Records","Total"
"IN447594A1 | MILLIMETER-WAV SURFACE-WAVE COMMUNICATIONS | AT&T INTELLECTUAL PROPERTY I LP (ATLANTA, US)",162
"IN201647015348A | MILLIMETER-WAV SURFACE-WAVE COMMUNICATIONS | AT&T INTELLECTUAL PROPERTY I LP (US)",162
"IN-CHENP-2015-07352A | REMOTE DISTRIBUTED ANTENNA SYSTEM | AT&T INTELLECTUAL PROPERTY I LP (US)",91
"IN309092A1 | WIRELESS NON-RADIATIVE ENERGY TRANSFER | MASSACHUSETTS INSTITUTE OF TECHNOLOGY",55
"IN-DELNP-2009-06195A | WIRELESS ENERGY TRANSFER | MASSACHUSETTS INSTITUTE OF TECHNOLOGY (US)",55
"IN-DELNP-2008-00735A | WIRELESS NON-RADIATIVE ENERGY TRANSFER | MASSACHUSETTS INSTITUTE OF TECHNOLOGY (US)",55
"IN261253A1 | SYSTEM USING CASCADED GAIN ELEMENTS FOR FACILITATING TELECOMMINICATION CAPABILITY FOR ELECTROMAGNETIC PROPAGATION MEDIUM | GEIR MONSEN VAVIK (NO)",38
"IN-DELNP-2004-02290A | TRANSPONDER, INCLUDING TRANSPONDER SYSTEM | GEIR MONSEN VAVIK (NO)",38
"IN201747044027A | SYSTEM AND METHOD FOR SOUND DIRECTION DETECTION IN A VEHICLE | FORD GLOBAL TECHNOLOGY INC (US)",36
"IN531925A1 | AN IMPROVED ORGANIC RANKINE CYCLE SYSTEM WITH COUPLED DIFFUSION ABSORPTION REFRIGERATION EFFECT | INDIAN INSTITUTE OF TECHNOLOGY BHU VARANASI (VARANASI, IN)",32
"IN202111000822A | AN IMPROVED ORGANIC RANKINE CYCLE SYSTEM WITH COUPLED DIFFUSION ABSORPTION REFRIGERATION EFFECT | INDIAN INSTITUTE OF TECHNOLOGY BHU VARANASI",32
"IN509611A1 | RETRACTABLE FOOTSTEP ASSEMBLY FOR A VEHICLE | MAHINDRA & MAHINDRA LTD (CHENGALPATTU, IN)",27
"IN201741011829A | RETRACTABLE FOOTSTEP ASSEMBLY FOR A VEHICLE | MAHINDRA & MAHINDRA LTD (CHENGALPATTU, IN)",27
